name,lat,lng,max_temp_f,humidity,cloudiness,windspeed,country,date
Concordia,-31.39,-58.02,84.2,45,99,4.7,AR,1600984613
Tres Picos,15.87,-93.53,84.47,71,83,5.32,MX,1600984613
Puerto Ayora,-0.74,-90.35,71.01,81,46,8.01,EC,1600984613
Rawdon,46.05,-73.72,68.0,52,75,8.05,CA,1600984614
Dakar,14.69,-17.44,82.4,74,20,6.93,SN,1600984614
Yatou,37.15,122.38,60.46,82,1,5.46,CN,1600984614
Umm Kaddadah,13.6,26.69,88.32,34,94,12.28,SD,1600984614
Gijang,35.24,129.21,64.4,72,20,8.05,KR,1600984615
Saldanha,-33.01,17.94,57.2,76,27,10.29,ZA,1600984615
La Virginia,4.9,-75.88,78.8,54,75,4.7,CO,1600984615
Moose Factory,51.26,-80.61,50.0,57,1,3.36,CA,1600984615
Marystown,47.17,-55.15,59.0,100,26,5.01,CA,1600984616
Leningradskiy,69.38,178.42,30.94,98,100,12.66,RU,1600984616
Dābhol,17.6,73.17,76.1,93,75,1.19,IN,1600984616
San Cristobal,7.77,-72.22,93.2,36,40,16.11,VE,1600984309
Richards Bay,-28.78,32.04,72.18,62,0,15.52,ZA,1600984617
Maracaçumé,-2.04,-45.96,77.83,79,60,6.53,BR,1600984617
Qaanaaq,77.48,-69.36,17.11,83,94,10.92,GL,1600984456
Iquique,-20.22,-70.14,62.6,72,32,12.75,CL,1600984591
Tiksi,71.69,128.87,40.73,77,1,6.6,RU,1600984617
Hambantota,6.12,81.12,78.8,100,75,5.82,LK,1600984617
Cockburn Town,21.46,-71.14,86.0,70,40,8.05,TC,1600984618
Durrës,41.32,19.44,62.6,93,0,4.7,AL,1600984582
Liuzhou,24.31,109.39,67.15,85,96,3.62,CN,1600984618
Conceição do Araguaia,-8.26,-49.26,91.31,38,52,5.01,BR,1600984618
Chui,-33.7,-53.46,53.69,86,97,5.32,UY,1600984618
Karasuk,53.74,78.04,45.37,88,100,21.41,RU,1600984619
Domna,51.9,113.16,37.4,86,6,11.18,RU,1600984619
La Ronge,55.1,-105.28,59.0,62,75,12.75,CA,1600984619
Gazojak,41.19,61.4,60.35,31,0,9.33,TM,1600984619
Tasiilaq,65.61,-37.64,32.0,85,41,2.24,GL,1600984620
Dwārka,22.24,68.97,81.28,80,49,11.88,IN,1600984620
Kruisfontein,-34.0,24.73,58.26,84,3,7.63,ZA,1600984498
Adré,13.47,22.2,78.04,64,99,7.49,TD,1600984620
Acapulco de Juárez,16.86,-99.89,87.8,74,40,5.82,MX,1600984441
Bulawayo,-20.15,28.58,63.25,44,0,8.12,ZW,1600984621
Klaksvík,62.23,-6.59,42.8,81,88,16.11,FO,1600984483
Port Hedland,-20.32,118.57,71.6,56,14,4.7,AU,1600984551
Gari,59.43,62.35,34.03,93,27,4.21,RU,1600984621
Boguchany,58.38,97.45,44.26,94,100,2.21,RU,1600984622
Carnarvon,-24.87,113.63,64.4,100,10,4.7,AU,1600984376
Hermanus,-34.42,19.23,54.0,88,50,11.01,ZA,1600984458
Waddān,29.16,16.14,84.51,24,0,5.7,LY,1600984622
Port Lincoln,-34.73,135.87,49.01,68,14,21.16,AU,1600984552
Khatanga,71.97,102.5,42.66,80,77,8.01,RU,1600984622
Valleyview,55.07,-117.29,60.78,44,100,16.93,CA,1600984623
Massaguet,12.48,15.44,80.6,88,37,3.36,TD,1600984623
Pokhara,28.23,83.98,67.35,87,100,2.62,NP,1600983870
Vestmannaeyjar,63.44,-20.27,38.19,75,0,14.97,IS,1600984487
Lagoa,39.05,-27.98,67.46,70,6,13.31,PT,1600984623
Mar del Plata,-38.0,-57.56,54.0,93,90,8.05,AR,1600984624
New Norfolk,-42.78,147.06,43.0,90,78,1.74,AU,1600984457
Lompoc,34.64,-120.46,77.0,60,1,21.92,US,1600984535
Bulancak,40.94,38.23,66.2,100,40,2.62,TR,1600984417
