name,lat,lng,max_temp_f,humidity,cloudiness,windspeed,country,date
Avarua,-21.21,-159.78,77.0,78,99,14.99,CK,1601084663
Rosetta,31.4,30.42,77.0,73,0,5.82,EG,1601084663
Yaan,7.38,8.57,72.59,98,100,4.81,NG,1601084663
New Norfolk,-42.78,147.06,55.0,65,85,4.0,AU,1601084664
Puri,19.8,85.85,80.6,94,75,16.62,IN,1601084584
Ponta do Sol,32.67,-17.1,73.4,73,40,13.87,PT,1601084664
Kidal,18.44,1.41,88.25,13,0,9.82,ML,1601084664
Hong Kong,22.29,114.16,82.99,79,95,3.0,HK,1601084418
Deder,9.32,41.45,55.74,90,9,6.06,ET,1601084665
Yakeshi,49.28,120.73,60.57,68,99,13.62,CN,1601084665
Vila Franca do Campo,37.72,-25.43,68.0,82,75,12.75,PT,1601084665
Paamiut,61.99,-49.67,39.63,84,99,17.65,GL,1601084665
Hithadhoo,-0.6,73.08,82.09,67,100,4.25,MV,1601084666
Umluj,25.02,37.27,84.27,48,0,9.55,SA,1601084666
Chumikan,54.72,135.31,51.58,79,93,13.09,RU,1601084666
Pitimbu,-7.47,-34.81,71.6,88,0,4.7,BR,1601084666
Kalabo,-14.97,22.68,65.52,27,46,2.48,ZM,1601084667
Qasigiannguit,68.82,-51.19,35.6,74,100,10.29,GL,1601084667
Tuatapere,-46.13,167.68,63.0,52,100,11.99,NZ,1601084667
Southbridge,42.08,-72.03,64.0,81,0,3.89,US,1601084667
Turbat,26.0,63.04,75.25,53,0,2.57,PK,1601084668
Broome,42.25,-75.83,66.2,63,1,5.82,US,1601084668
Pangody,65.85,74.49,37.62,91,77,8.1,RU,1601084668
Cabo San Lucas,22.89,-109.91,84.99,83,20,8.05,MX,1601084579
Mahébourg,-20.41,57.7,69.8,77,75,16.11,MU,1601084669
Isangel,-19.55,169.27,80.6,83,40,9.17,VU,1601084669
San Policarpo,12.18,125.51,84.61,75,1,9.95,PH,1601084669
Jōetsu,37.15,138.24,72.0,100,79,5.46,JP,1601084670
Caravelas,-17.71,-39.25,71.46,86,0,4.79,BR,1601084623
Chino Valley,34.76,-112.45,82.0,18,1,10.29,US,1601084670
Lavrentiya,65.58,-171.0,37.9,75,83,12.68,RU,1601084670
São Filipe,14.9,-24.5,79.43,82,61,6.82,CV,1601084670
Kaitangata,-46.28,169.85,55.99,71,90,8.01,NZ,1601084671
Canning,22.32,88.67,82.4,94,40,4.7,IN,1601084671
Meadow Lake,34.8,-106.54,86.0,11,20,11.41,US,1601084671
Ribeira Grande,38.52,-28.7,68.29,77,4,13.49,PT,1601084671
Marzuq,14.4,46.47,75.29,45,0,2.98,YE,1601084672
Herat Province,34.5,62.0,50.0,23,0,2.24,AF,1601084672
Sola,-13.88,167.55,80.69,84,40,18.88,VU,1601084672
Agen,44.2,0.63,50.0,87,96,3.36,FR,1601084672
Bambous Virieux,-20.34,57.76,69.8,77,75,16.11,MU,1601084673
Agadez,19.75,10.25,80.89,16,0,9.17,NE,1601084673
Nioro,13.35,-15.75,75.88,94,100,4.88,GM,1601084673
Vostok,46.49,135.88,53.69,61,100,10.27,RU,1601084673
Yulara,-25.24,130.99,68.0,24,0,16.11,AU,1601084674
Torbay,47.67,-52.73,52.0,76,5,19.46,CA,1601084674
Rūdsar,37.14,50.29,69.8,77,20,2.24,IR,1601084674
Navoloki,57.47,41.96,49.44,92,89,4.99,RU,1601084675
Lüderitz,-26.65,15.16,55.83,78,26,10.69,NA,1601084675
Bayir,37.27,28.22,64.4,88,0,4.7,TR,1601084675
Atuona,-9.8,-139.03,78.3,75,11,18.19,PF,1601084675
Murray Bridge,-35.12,139.27,53.01,77,88,12.41,AU,1601084676
Hauterive,46.09,3.45,48.2,70,75,9.17,FR,1601084676
Broken Hill,-31.95,141.43,53.6,50,40,13.87,AU,1601084676
Taoudenni,22.68,-3.98,96.06,10,0,9.62,ML,1601084676
Yellowknife,62.46,-114.35,48.2,81,90,4.7,CA,1601084403
Feicheng,35.26,117.97,71.46,63,0,7.09,CN,1601084677
Gorodishche,48.8,44.47,60.8,44,19,11.18,RU,1601084677
Salamanca,40.83,-6.0,44.01,86,68,4.7,ES,1601084677
Tomatlán,19.93,-105.25,77.68,87,66,0.78,MX,1601084678
Souillac,-20.52,57.52,69.8,77,75,16.11,MU,1601084678
Havøysund,71.0,24.66,42.8,81,75,14.99,NO,1601084678
Geraldton,-28.77,114.6,68.0,72,90,8.05,AU,1601084678
Ambérieu-en-Bugey,45.96,5.34,51.8,71,75,8.05,FR,1601084679
Tasiilaq,65.61,-37.64,37.4,74,100,24.16,GL,1601084679
East London,-33.02,27.91,61.45,65,100,18.95,ZA,1601084679
Kumul,42.8,93.45,63.23,28,0,5.08,CN,1601084679
Saint Paul Harbor,57.79,-152.41,51.8,71,90,10.29,US,1601084680
Skjervøy,70.03,20.97,45.39,71,99,27.27,NO,1601084680
Kholodnyy,62.72,147.95,46.56,52,0,3.0,RU,1601084680
Plettenberg Bay,-34.05,23.37,51.55,71,89,14.58,ZA,1601084680
Airai,-8.93,125.41,79.95,35,35,4.54,TL,1601084681
Muravlenko,63.79,74.52,38.37,91,33,8.84,RU,1601084681
Reconquista,-29.15,-59.65,77.41,69,100,13.22,AR,1601084681
Hukuntsi,-24.0,21.75,56.05,36,0,14.9,BW,1601084681
Upernavik,72.79,-56.15,24.69,85,100,6.93,GL,1601084682
Arraial do Cabo,-22.97,-42.03,71.53,88,0,20.4,BR,1601084682
Thunder Bay,48.4,-89.32,55.4,100,75,2.24,CA,1601084476
Batemans Bay,-35.72,150.18,64.0,61,37,10.0,AU,1601084682
Cap Malheureux,-19.98,57.61,69.01,78,16,5.99,MU,1601084683
